#{"t_start": 1681919817.437588, "env_id": null}
r,l,t
658.379533,2,0.44134
187.6437,2,0.441876
784.699333,2,0.442414
242.7387,2,0.442952
319.9415,2,0.44349
607.666317,2,0.444033
625.083333,2,0.444569
382.865895,2,0.445117
790.677333,2,0.445669
697.13675,2,0.446204
695.2289,2,0.446745
0.0,2,0.447282
667.4305,2,0.447813
610.655317,2,0.44835
697.13675,2,0.448878
242.7387,2,0.44947
672.998633,2,0.450015
127.621965,2,0.450548
767.504965,2,0.451081
724.153517,2,0.45162
672.998633,2,0.452165
375.2874,2,0.452696
0.0,2,0.453229
257.3578,2,0.453761
182.716965,2,0.454294
703.11475,2,0.454835
202.2628,2,0.455372
874.62375,2,0.455903
287.473917,2,0.456438
826.899533,2,0.456973
784.38575,2,0.457513
487.622847,2,0.458045
694.915317,2,0.458579
82.6425,2,0.459119
959.510917,2,0.459657
917.16375,2,0.460202
235.367917,2,0.460732
874.62375,2,0.461271
695.2289,2,0.461805
575.18543,2,0.462346
232.378917,2,0.46288
577.5502,2,0.463424
487.622847,2,0.463958
697.13675,2,0.464494
766.877798,2,0.465029
658.379533,2,0.465562
917.477333,2,0.46612
767.504965,2,0.466685
498.283333,2,0.467237
784.38575,2,0.467771
532.147565,2,0.468304
607.666317,2,0.468836
464.757833,2,0.469383
725.157798,2,0.469915
842.1458,2,0.470453
287.473917,2,0.470993
672.998633,2,0.471527
127.621965,2,0.472062
187.6437,2,0.472596
577.5502,2,0.473129
766.877798,2,0.473665
724.153517,2,0.474204
938.02375,2,0.474743
706.10375,2,0.475276
592.1693,2,0.475818
872.261917,2,0.476361
674.055317,2,0.476894
769.50375,2,0.47744
667.020633,2,0.477971
652.401533,2,0.478505
724.153517,2,0.479038
784.38575,2,0.479575
917.16375,2,0.480107
502.909365,2,0.480642
636.904517,2,0.481178
282.79143,2,0.481711
287.473917,2,0.482238
287.473917,2,0.4828
703.293517,2,0.483342
0.0,2,0.483875
287.473917,2,0.484404
938.02375,2,0.484947
917.477333,2,0.485482
432.0731,2,0.486014
826.899533,2,0.486545
763.52575,2,0.487077
724.4671,2,0.487606
666.803333,2,0.488144
695.2289,2,0.488672
470.735833,2,0.489207
55.095,2,0.489742
607.666317,2,0.490282
703.293517,2,0.490829
597.535833,2,0.491359
577.5502,2,0.491891
554.011847,2,0.492429
832.90375,2,0.492967
666.803333,2,0.493508
703.293517,2,0.494052
290.462917,2,0.494588
724.4671,2,0.495119
639.883,2,0.495652
442.88763,2,0.496184
724.153517,2,0.496717
597.535833,2,0.497249
574.871847,2,0.497781
790.677333,2,0.498312
127.621965,2,0.498844
785.179533,2,0.499397
763.52575,2,0.500059
319.9415,2,0.500724
402.8349,2,0.501322
917.477333,2,0.501894
498.283333,2,0.502455
826.899533,2,0.503014
0.0,2,0.503571
694.915317,2,0.50413
487.622847,2,0.504684
875.250917,2,0.505236
700.12575,2,0.505785
896.30375,2,0.50633
498.283333,2,0.506883
694.915317,2,0.507437
592.379798,2,0.507992
799.798633,2,0.508546
959.8245,2,0.509091
695.2289,2,0.509638
826.899533,2,0.510191
639.893517,2,0.510727
298.767917,2,0.511264
958.88375,2,0.511804
404.5256,2,0.512367
592.1693,2,0.512934
375.2874,2,0.513474
606.7884,2,0.514012
610.655317,2,0.514562
784.38575,2,0.515106
375.2874,2,0.515641
725.157798,2,0.516235
487.622847,2,0.516806
872.261917,2,0.517363
592.379798,2,0.517903
874.62375,2,0.518464
842.1458,2,0.519009
597.535833,2,0.519546
374.722917,2,0.520098
470.735833,2,0.520634
0.0,2,0.521183
725.157798,2,0.521726
202.2628,2,0.522267
959.510917,2,0.522827
874.62375,2,0.523372
767.504965,2,0.523908
27.5475,2,0.52446
404.5256,2,0.524998
832.90375,2,0.525573
874.62375,2,0.526154
703.11475,2,0.526706
667.020633,2,0.527247
290.462917,2,0.527784
574.871847,2,0.528318
202.2628,2,0.528857
790.36375,2,0.529395
502.909365,2,0.529936
382.865895,2,0.530478
182.716965,2,0.531021
319.627917,2,0.53156
375.2874,2,0.532097
842.1458,2,0.532665
127.621965,2,0.53328
767.504965,2,0.533868
694.915317,2,0.534448
636.904517,2,0.535014
674.055317,2,0.535606
767.504965,2,0.536182
27.5475,2,0.536726
790.36375,2,0.537277
375.2874,2,0.537816
703.11475,2,0.538347
592.1693,2,0.538883
917.16375,2,0.539417
597.535833,2,0.539959
375.2874,2,0.540495
872.261917,2,0.541031
242.7387,2,0.541563
290.462917,2,0.542102
871.63475,2,0.542638
872.261917,2,0.543169
639.893517,2,0.54371
606.7884,2,0.544241
55.095,2,0.544783
896.30375,2,0.545314
592.379798,2,0.545853
464.757833,2,0.546386
187.6437,2,0.54692
375.0365,2,0.547453
785.179533,2,0.547996
841.518633,2,0.548528
694.915317,2,0.549065
127.621965,2,0.549605
636.904517,2,0.550195
375.0365,2,0.550777
639.883,2,0.55134
442.88763,2,0.551929
282.79143,2,0.552471
382.865895,2,0.553014
763.52575,2,0.553553
598.357798,2,0.554092
706.10375,2,0.554626
432.0731,2,0.555167
282.79143,2,0.555706
562.9311,2,0.556241
432.0731,2,0.556775
319.9415,2,0.557322
658.379533,2,0.557861
959.510917,2,0.558395
842.1458,2,0.558929
917.477333,2,0.559465
832.90375,2,0.560004
785.179533,2,0.56054
672.998633,2,0.561075
724.153517,2,0.561611
639.893517,2,0.562147
724.4671,2,0.562682
82.6425,2,0.563214
287.473917,2,0.563747
767.504965,2,0.564287
763.52575,2,0.564827
532.147565,2,0.56536
554.011847,2,0.565923
598.357798,2,0.566478
257.3578,2,0.567012
958.88375,2,0.567544
232.378917,2,0.568085
55.095,2,0.56863
402.8349,2,0.569179
636.904517,2,0.569711
610.655317,2,0.570248
382.865895,2,0.570785
554.011847,2,0.571323
697.13675,2,0.571859
875.250917,2,0.572393
402.8349,2,0.572922
917.477333,2,0.573459
697.13675,2,0.574001
255.24393,2,0.574536
829.91475,2,0.575072
498.283333,2,0.575605
826.899533,2,0.576143
672.998633,2,0.576677
959.197333,2,0.57721
319.9415,2,0.577748
826.899533,2,0.578277
658.379533,2,0.57881
575.18543,2,0.579343
287.473917,2,0.579878
784.38575,2,0.580413
827.5267,2,0.580951
666.803333,2,0.581486
769.50375,2,0.582018
872.261917,2,0.582559
832.90375,2,0.583695
724.4671,2,0.58442
375.0365,2,0.585092
872.261917,2,0.585688
575.18543,2,0.586262
202.2628,2,0.586823
695.2289,2,0.587392
639.255833,2,0.587947
182.716965,2,0.5885
667.020633,2,0.589044
917.477333,2,0.589596
625.083333,2,0.590139
667.020633,2,0.590691
841.518633,2,0.59125
652.401533,2,0.591794
470.735833,2,0.592341
574.871847,2,0.592885
402.8349,2,0.593439
319.9415,2,0.593983
574.871847,2,0.594522
917.477333,2,0.59506
255.24393,2,0.595601
232.378917,2,0.596135
607.666317,2,0.596673
255.24393,2,0.597216
490.611847,2,0.598049
290.462917,2,0.598772
257.3578,2,0.599447
666.803333,2,0.600161
625.083333,2,0.600841
706.10375,2,0.601489
487.622847,2,0.602112
319.627917,2,0.602668
502.909365,2,0.603226
232.378917,2,0.603793
610.655317,2,0.604348
27.5475,2,0.604893
319.9415,2,0.605442
639.883,2,0.605987
697.13675,2,0.606531
492.305333,2,0.607078
610.655317,2,0.607628
187.6437,2,0.608174
242.7387,2,0.608716
959.8245,2,0.609262
672.998633,2,0.609804
841.518633,2,0.610351
492.305333,2,0.610893
290.462917,2,0.611436
784.699333,2,0.611983
487.622847,2,0.612527
959.8245,2,0.613064
799.798633,2,0.613604
404.5256,2,0.614154
674.055317,2,0.614702
182.716965,2,0.615377
700.12575,2,0.616103
672.998633,2,0.616772
842.1458,2,0.617434
842.1458,2,0.618255
287.473917,2,0.619031
562.9311,2,0.619651
767.504965,2,0.62028
577.5502,2,0.620914
375.2874,2,0.621538
874.62375,2,0.622121
724.153517,2,0.62268
562.9311,2,0.623235
826.899533,2,0.623791
606.7884,2,0.624351
938.02375,2,0.624892
674.055317,2,0.62545
938.02375,2,0.62599
492.305333,2,0.626532
784.38575,2,0.627073
287.473917,2,0.627617
242.7387,2,0.628155
694.915317,2,0.628697
404.5256,2,0.629235
235.367917,2,0.629797
703.293517,2,0.63034
242.7387,2,0.630877
562.9311,2,0.631416
255.24393,2,0.632073
959.197333,2,0.632928
290.462917,2,0.633622
938.02375,2,0.634246
502.909365,2,0.634872
790.36375,2,0.635504
82.6425,2,0.636094
667.020633,2,0.636652
27.5475,2,0.637219
667.020633,2,0.637777
235.367917,2,0.63833
790.677333,2,0.638877
769.50375,2,0.639432
532.147565,2,0.639984
353.862917,2,0.640527
871.63475,2,0.641076
182.716965,2,0.641618
959.8245,2,0.64217
232.378917,2,0.642718
841.518633,2,0.643277
432.0731,2,0.643827
82.6425,2,0.644373
432.0731,2,0.644914
27.5475,2,0.645462
290.462917,2,0.646006
432.0731,2,0.646548
432.0731,2,0.647089
319.627917,2,0.647631
487.622847,2,0.648172
187.6437,2,0.648724
917.16375,2,0.649328
353.862917,2,0.649897
375.0365,2,0.650435
375.0365,2,0.650972
0.0,2,0.651514
697.13675,2,0.652053
841.518633,2,0.652591
896.30375,2,0.653152
202.2628,2,0.653699
374.722917,2,0.654236
607.666317,2,0.654786
652.401533,2,0.655325
917.16375,2,0.655859
402.8349,2,0.656396
298.767917,2,0.656942
577.5502,2,0.657487
799.798633,2,0.658026
703.293517,2,0.658571
667.4305,2,0.659109
374.722917,2,0.659646
672.998633,2,0.660189
353.862917,2,0.66073
667.020633,2,0.661263
287.473917,2,0.6618
694.915317,2,0.662336
639.883,2,0.662877
242.7387,2,0.663411
287.473917,2,0.663948
374.722917,2,0.666468
470.735833,2,0.667207
674.055317,2,0.667813
575.18543,2,0.66839
724.4671,2,0.66895
402.8349,2,0.669504
827.5267,2,0.670064
592.379798,2,0.670614
290.462917,2,0.671171
871.63475,2,0.671722
706.10375,2,0.67227
829.91475,2,0.672828
700.12575,2,0.67337
319.9415,2,0.673915
841.518633,2,0.674461
871.63475,2,0.675028
842.1458,2,0.675574
575.18543,2,0.676122
938.02375,2,0.676667
257.3578,2,0.67721
574.871847,2,0.677759
636.904517,2,0.678306
470.735833,2,0.678871
382.865895,2,0.679416
841.518633,2,1.022289
187.6437,2,1.023051
769.50375,2,1.02366
382.865895,2,1.024272
694.915317,2,1.024869
666.803333,2,1.025442
592.379798,2,1.025998
636.904517,2,1.026551
874.62375,2,1.027103
917.16375,2,1.027662
842.1458,2,1.028237
872.261917,2,1.02881
790.36375,2,1.029368
938.02375,2,1.029924
938.02375,2,1.030466
958.88375,2,1.031013
767.504965,2,1.031567
592.1693,2,1.032112
592.379798,2,1.032667
766.877798,2,1.033229
959.510917,2,1.033835
700.12575,2,1.034427
636.904517,2,1.035017
703.11475,2,1.035596
554.011847,2,1.036182
871.63475,2,1.036727
784.38575,2,1.037274
442.88763,2,1.037817
917.16375,2,1.038359
784.699333,2,1.038899
607.666317,2,1.039441
202.2628,2,1.039979
724.153517,2,1.040525
724.153517,2,1.041071
769.50375,2,1.04162
287.473917,2,1.042166
404.5256,2,1.042711
784.38575,2,1.043248
958.88375,2,1.043791
487.622847,2,1.044335
959.8245,2,1.044884
703.11475,2,1.045427
287.473917,2,1.045972
574.871847,2,1.046515
832.90375,2,1.047056
872.261917,2,1.047606
319.9415,2,1.048158
724.153517,2,1.048707
958.88375,2,1.049285
598.357798,2,1.049841
827.5267,2,1.050379
672.998633,2,1.050919
235.367917,2,1.051469
606.7884,2,1.052009
666.803333,2,1.052552
917.477333,2,1.053087
404.5256,2,1.053628
574.871847,2,1.054165
706.10375,2,1.054705
958.88375,2,1.055241
790.36375,2,1.055789
319.627917,2,1.056323
597.535833,2,1.05686
917.16375,2,1.057399
575.18543,2,1.057941
694.915317,2,1.058478
874.62375,2,1.059015
959.8245,2,1.059548
554.011847,2,1.060085
639.893517,2,1.060617
874.62375,2,1.061156
874.62375,2,1.061692
666.803333,2,1.062229
842.1458,2,1.062765
532.147565,2,1.063305
606.7884,2,1.063841
826.899533,2,1.064392
575.18543,2,1.064927
917.16375,2,1.065462
652.401533,2,1.066016
917.477333,2,1.066583
639.255833,2,1.067134
790.677333,2,1.067672
959.197333,2,1.068216
829.91475,2,1.06875
592.379798,2,1.069302
697.13675,2,1.069843
606.7884,2,1.07038
592.1693,2,1.07092
841.518633,2,1.071464
257.3578,2,1.071997
695.2289,2,1.072533
697.13675,2,1.073068
832.90375,2,1.073604
432.0731,2,1.074142
592.379798,2,1.074677
766.877798,2,1.075214
652.401533,2,1.075746
639.883,2,1.076279
842.1458,2,1.076814
785.179533,2,1.077351
666.803333,2,1.077883
319.627917,2,1.078419
402.8349,2,1.078952
432.0731,2,1.079499
725.157798,2,1.080032
784.38575,2,1.080569
639.883,2,1.081106
606.7884,2,1.081652
875.250917,2,1.082187
938.02375,2,1.082742
574.871847,2,1.083297
375.0365,2,1.083829
724.153517,2,1.084365
432.0731,2,1.084901
672.998633,2,1.085445
636.904517,2,1.085981
666.803333,2,1.086518
606.7884,2,1.08705
287.473917,2,1.087586
577.5502,2,1.088127
202.2628,2,1.088673
697.13675,2,1.089209
790.677333,2,1.089741
375.2874,2,1.090276
703.11475,2,1.090814
832.90375,2,1.091349
938.650917,2,1.091884
769.50375,2,1.092419
706.10375,2,1.092955
703.293517,2,1.093489
